Codi,Institució,Latitude,Longitude,Web,Ciutat,País,Continent o Zona (CALCULAT),Estudis Mobilitat,"Mobilitat 
estudiants","Mobilitat 
docent","Col. acadèmica 
o institucional","Estudis 
conjunts",Xarxes,Factsheet,Curs d'actualització Factsheet,Estudis insti,Video promocional,,,,,,,,,,,,,,,
D REGENSB01,Universität Regensburg,48.9992339,12.0931658,http://www.uni-regensburg.de/,Regensburg,Alemanya,Europa,Dret,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Universit%C3%A4t+Regensburg.pdf/33cbc826-b022-2435-7af8-bf4cb13bc18c?t=1680247423118,2025-26,Dret,,,,,,,,,,,,,,,,
D KOLN01,Universität zu Köln,50.9281625,6.9288193,http://www.uni-koeln.de/,Köln,Alemanya,Europa,Traducció i Interpretació,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Universit%C3%A4t+zu+K%C3%B6ln.pdf/bffea1e4-ab15-e2e6-7568-e915f274f011?t=1741940546083,2025-26,Traducció i Interpretació,,,,,,,,,,,,,,,,
D SIEGEN01,Universität Siegen,50.9112587,8.0253398,http://www.uni-siegen.de/,Siegen,Alemanya,Europa,"Traducció i Interpretació
",TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121071315/Universit%C3%A4t+Siegen.pdf/8cf5a574-b426-fca7-398d-3fe2438371f5?t=1680250816861,2025-26,Traducció i Interpretació,, 28.02.2025Enviat mail per reclamar faacsheet,,,,,,,,,,,,,,
,Colegio de Traductores Públicos de Buenos Aires,-34.6047738,-58.3928364,http://www.traductores.org.ar/,Buenos Aires,Argentina,Amèrica Llatina,Lingüística Aplicada (IULA),FALSE,FALSE,TRUE,FALSE,,,,"Lingüística Aplicada (IULA)
",,,,,,,,,,,,,,,,
,Ministerio Público Fiscal,32.5395059,-116.9429206,http://www.mpf.gov.ar/,Buenos Aires,Argentina,Amèrica Llatina,Dret,FALSE,FALSE,TRUE,FALSE,,,2018-19,Dret,,,,,,,,,,,,,,,,
ARGBUENOSA13,Pontifícia Universidad Católica Argentina,-34.6164643,-58.3657185,http://www.uca.edu.ar/index.php/home/index/es,Buenos Aires,Argentina,Amèrica Llatina,Medicina,FALSE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121096799/Pontif%C3%ADcia+Universidad+Cat%C3%B3lica+Argentina.pdf/1d431499-3208-1055-f793-6503180f57e1,2024-25,Biologia; Medicina,https://ucao365-my.sharepoint.com/personal/uca_internacional_uca_edu_ar/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fuca%5Finternacional%5Fuca%5Fedu%5Far%2FDocuments%2FDatos%20adjuntos%2FUCA%20University%20Life%201%2Emp4&parent=%2Fpersonal%2Fuca%5Finternacional%5Fuca%5Fedu%5Far%2FDocuments%2FDatos%20adjuntos&originalPath=aHR0cHM6Ly91Y2FvMzY1LW15LnNoYXJlcG9pbnQuY29tLzp2Oi9nL3BlcnNvbmFsL3VjYV9pbnRlcm5hY2lvbmFsX3VjYV9lZHVfYXIvRWFTNFlUakRaWlpEbGlpU0l1T1hvVUFCWjNYbnM1UlhBSDF0N1FDTFRfaTU4QT9ydGltZT1fREg1cWFhVDJVZw,,,,,,,,,,,,,,,
,Superintendencia de Riesgos del Trabajo,-26.829603,-65.1998909,https://www.srt.gob.ar/,San Miguel de Tucumán,Argentina,Amèrica Llatina,,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,
ARGBUENOSA07,Universidad de Belgrano,-34.5639014,-58.4438185,http://www.ub.edu.ar/,Buenos Aires,Argentina,Amèrica Llatina,Tots els estudis excepte Enginyeria Biomèdica i IBE,TRUE,FALSE,FALSE,FALSE,,https://www.upf.edu/documents/105229234/121096799/Universidad+de+Belgrano.pdf/faaa8ab4-152d-f686-ad74-c0fc605eabd7?t=1682063517147,2025,Tots els estudis excepte Medicina,,,,,,,,,,,,,,,,
ARGBUENOSA01,Universidad de Buenos Aires,-34.5998875,-58.3730695,http://www.uba.ar/,Buenos Aires,Argentina,Amèrica Llatina,Economia; Administració i Direcció d'Empreses; International Bussiness Economics i Ciències Empresarials-Management,TRUE,FALSE,TRUE,FALSE,,https://www.upf.edu/documents/105229234/121096799/Buenos+Aires.pdf/7cb20ce9-b75f-b279-c6a3-97ccaea7c2c3,2025-26,"Economia, Administració i Direcció d'Empreses, International Bussiness Economics i Ciències Empresarials-Management",,,,,,,,,,,,,,,,-
,Universidad de Palermo,-34.5972377,-58.4159956,http://www.palermo.edu/,Buenos Aires,Argentina,Amèrica Llatina,Dret,FALSE,TRUE,FALSE,FALSE,,,2018-19,Dret,,,,,,,,,,,,,,,,
